date,market,reason,range_low,range_high,reference_star,evidence,review_status,drive_file_id,drive_url,title
2025-01-06,A股,approximate_range,5.2,5.3,,5.2-5.3星,pending_manual_or_image_review,1ccKfxsOvJ0qJ5FxGV0osbzhA03hVIz0t,https://drive.google.com/file/d/1ccKfxsOvJ0qJ5FxGV0osbzhA03hVIz0t/view?usp=drivesdk,［1月6日］指数估值数据(降息降准利好来了；月薪宝发薪日；黄金星级更新）
2025-01-17,A股,approximate_range,5.1,5.2,,5.1-5.2星,pending_manual_or_image_review,13PS7SJxK4VdSGUovqmZXn0JjJv_1la2h,https://drive.google.com/file/d/13PS7SJxK4VdSGUovqmZXn0JjJv_1la2h/view?usp=drivesdk,［1月17日］指数估值数据(免费领春节红包封面；六大策略指数如何搭配；抽奖福利）
2025-02-04,A股,market_closed_no_new_target,,,,A股没有交易，A股估值也没有变化,pending_manual_or_image_review,17Sv4MwaajVx8zAUmf_fRzvYO-TNcQkU_,https://drive.google.com/file/d/17Sv4MwaajVx8zAUmf_fRzvYO-TNcQkU_/view?usp=drivesdk,［2月4日］指数估值数据(假期里港股大涨，A股会开门红么）
2025-03-28,A股,approximate_range,4.9,5.0,,4.9-5星,pending_manual_or_image_review,1XrtAWsBVzV16T7Hl7MNs4yZC4O8PfDlL,https://drive.google.com/file/d/1XrtAWsBVzV16T7Hl7MNs4yZC4O8PfDlL/view?usp=drivesdk,［3月28日］指数估值数据(市场为啥又波动；A股港股医药行业估值如何；抽奖福利）
2025-04-17,A股,approximate_range,5.1,5.2,,5.1-5.2星,pending_manual_or_image_review,1OpG6g2VDcIKoUhz9n2_36XYEc98npS8z,https://drive.google.com/file/d/1OpG6g2VDcIKoUhz9n2_36XYEc98npS8z/view?usp=drivesdk,［4月17日］指数估值数据(自由现金流指数，能替代红利么；红利专题估值表更新；百分位估值表更新）
2025-05-05,A股,market_closed_no_new_target,,,,A股没有交易，A股的估值也没有变化,pending_manual_or_image_review,1zxVyzzYq1r_AeBK37wetkgs4IWmyzM66,https://drive.google.com/file/d/1zxVyzzYq1r_AeBK37wetkgs4IWmyzM66/view?usp=drivesdk,［5月5日］指数估值数据(假期里股市涨跌如何？）
2025-05-28,A股,approximate_range,5.0,5.1,,5.1-5星,pending_manual_or_image_review,1C5YdeMqEaqoBLTaDX8I3twjm4qvztppp,https://drive.google.com/file/d/1C5YdeMqEaqoBLTaDX8I3twjm4qvztppp/view?usp=drivesdk,［5月28日］指数估值数据(指数百分位，使用的时候要注意这四点；免费领取3周年奖章)
2025-06-02,A股,market_closed_no_new_target,,,,A股没有交易，A股的估值也没有变化,pending_manual_or_image_review,14OL36_YSa1Yv2d5JJq4LktxehiqiQG2K,https://drive.google.com/file/d/14OL36_YSa1Yv2d5JJq4LktxehiqiQG2K/view?usp=drivesdk,［6月2日］指数估值数据(关税风险再起，全球股市波动，黄金上涨)
2025-06-12,A股,near_threshold_only,,,4.9,距离4.9星很接近,pending_manual_or_image_review,1d6y6Urz1UcB2ky5QAXNTo0G8mwWejVr-,https://drive.google.com/file/d/1d6y6Urz1UcB2ky5QAXNTo0G8mwWejVr-/view?usp=drivesdk,［6月12日］指数估值数据(红利策略什么情况会失效；红利估值表更新；指数日报更新）
2025-06-20,A股,approximate_range,5.0,5.1,,5-5.1星,pending_manual_or_image_review,1e03bmBzWlTgvxVMbuogxnMVAEH7oJ3TF,https://drive.google.com/file/d/1e03bmBzWlTgvxVMbuogxnMVAEH7oJ3TF/view?usp=drivesdk,［6月20日］指数估值数据(港股反弹，港股指数估值如何；小微盘股波动变大；抽奖福利）
2026-02-23,A股,market_closed_no_new_target,,,,A股没有交易，A股估值也没有变化,pending_manual_or_image_review,1wM0z0eJePIfZFmzX9RelWavV7PJaFCVQ,https://drive.google.com/file/d/1wM0z0eJePIfZFmzX9RelWavV7PJaFCVQ/view?usp=drivesdk,［2月23日］指数估值数据(假期全球市场上涨，A股会补涨么？）
2026-05-05,A股,market_closed_no_new_target,,,,A股没有交易，A股的估值也没有变化,pending_manual_or_image_review,1HLgrlzNlCTMKkbH5RB7lJAGNavzzZ8TU,https://drive.google.com/file/d/1HLgrlzNlCTMKkbH5RB7lJAGNavzzZ8TU/view?usp=drivesdk,［5月5日］指数估值数据(假期里股市涨跌如何？）
